Program 0
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 2	82	35	63	68	52	28	
		Student 3	67	25	86	38	84	88	
		Student 4	12	19	55	64	83	64	
		Student 5	32	50	19	78	92	88	
		Student 6	81	79	45	98	58	70	
		Student 7	50	20	92	10	48	79	
		Student 8	27	67	45	47	81	73	
		Student 9	99	26	54	21	16	40	
		Student 10	30	61	96	38	21	47	
		Student 11	65	55	32	16	64	35	
		Student 12	83	21	94	10	46	67	
		Student 13	89	22	56	20	69	80	
		Student 14	76	67	39	44	88	14	
		Student 15	49	40	22	10	28	17	
		Student 16	95	51	91	35	39	91	
		Student 17	33	75	24	20	23	48	
		Student 18	97	77	29	95	27	60	
		Student 19	68	57	18	33	53	74	
		Student 20	90	29	41	16	22	26	
		Student 21	27	78	48	30	63	99	
		Student 22	85	40	33	17	87	43	
		Student 23	57	52	15	36	86	24	
		Student 24	60	13	85	96	91	81	
		Student 25	92	22	48	48	87	99	
		Student 26	60	68	82	39	21	79	
		Student 27	17	59	71	51	94	74	
		Student 28	51	20	45	79	15	80	
		Student 29	22	64	16	95	21	55	
		Student 30	68	35	95	65	82	90	
		Student 31	85	75	25	19	81	72	
		Student 32	24	74	93	85	17	46	
		Student 33	57	95	87	30	24	67	
		Student 34	68	86	23	73	82	11	
		Student 35	34	55	60	45	14	16	
		Student 36	95	25	79	31	44	99	
		Student 37	10	15	87	88	72	84	
		Student 38	12	74	53	10	33	73	
		Student 39	62	98	34	85	44	68	
		Student 40	45	10	75	83	90	94	
		Student 41	81	49	47	76	66	20	
		Student 42	82	10	78	52	83	29	
		Student 43	95	85	86	67	71	25	
		Student 44	55	12	19	89	71	42	
		Student 45	41	18	33	11	79	16	
		Student 46	37	87	23	73	17	43	
		Student 47	22	67	12	62	51	70	
		Student 48	39	25	60	71	88	88	
		Student 49	85	96	36	78	48	33	
	Semester 3
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	15	55	74	43	36	45	
		Student 1	60	21	37	18	63	57	
		Student 2	89	70	94	58	92	39	
		Student 3	22	67	58	15	76	23	
		Student 4	42	55	22	90	33	20	
		Student 5	24	94	68	70	26	68	
		Student 6	88	29	12	68	27	95	
		Student 7	74	89	76	74	15	84	
		Student 8	84	97	24	90	71	66	
		Student 9	38	74	85	97	13	20	
		Student 10	46	79	32	11	87	54	
		Student 11	71	76	82	15	37	89	
		Student 12	61	75	81	47	89	35	
		Student 13	41	56	62	76	64	95	
		Student 14	65	72	43	52	43	83	
		Student 15	50	65	96	51	62	36	
		Student 16	26	56	14	93	63	46	
		Student 17	43	93	38	59	49	12	
		Student 18	28	44	76	45	99	32	
		Student 19	59	46	65	27	58	55	
		Student 20	15	28	33	29	26	24	
		Student 21	49	91	61	62	65	54	
		Student 22	24	81	16	24	39	80	
		Student 23	91	18	76	88	68	69	
		Student 24	96	34	33	14	22	28	
		Student 25	31	65	49	74	34	83	
		Student 26	43	48	92	53	29	95	
		Student 27	31	27	21	53	67	30	
		Student 28	47	54	16	10	64	34	
		Student 29	91	66	46	62	69	29	
		Student 30	24	35	59	69	85	52	
		Student 31	47	64	10	44	53	80	
		Student 32	87	59	84	16	57	63	
		Student 33	64	39	11	18	83	15	
		Student 34	94	42	13	92	70	25	
		Student 35	18	58	84	58	37	39	
		Student 36	38	74	85	36	63	34	
		Student 37	60	89	99	35	10	63	
		Student 38	21	23	25	41	56	44	
		Student 39	67	12	96	26	56	80	
		Student 40	28	99	31	75	42	67	
		Student 41	97	61	77	82	43	69	
		Student 42	28	54	39	68	92	63	
		Student 43	66	61	31	28	45	61	
		Student 44	72	21	10	87	66	15	
		Student 45	78	96	47	30	65	63	
		Student 46	24	12	50	80	69	99	
		Student 47	92	58	70	48	77	66	
		Student 48	65	79	27	76	87	83	
		Student 49	31	48	82	91	31	81	
	Semester 4
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	34	45	86	27	66	74	
		Student 1	10	78	36	65	59	61	
		Student 2	12	74	99	30	15	32	
		Student 3	46	96	82	29	83	88	
		Student 4	35	35	16	34	89	55	
		Student 5	10	85	64	48	65	60	
		Student 6	58	94	59	62	51	24	
		Student 7	20	28	53	63	82	35	
		Student 8	98	80	65	92	68	85	
		Student 9	93	39	87	94	54	70	
		Student 10	33	66	81	94	39	85	
		Student 11	99	13	37	33	26	86	
		Student 12	79	16	12	36	63	45	
		Student 13	32	62	84	71	27	90	
		Student 14	30	12	95	27	50	69	
		Student 15	24	31	74	22	54	29	
		Student 16	79	30	71	32	57	77	
		Student 17	48	28	86	75	60	10	
		Student 18	23	64	96	51	77	25	
		Student 19	94	14	20	44	68	53	
		Student 20	58	40	59	22	21	13	
		Student 21	78	23	51	64	37	13	
		Student 22	88	64	53	67	46	76	
		Student 23	91	22	19	71	75	16	
		Student 24	51	68	98	79	97	72	
		Student 25	48	71	17	31	33	47	
		Student 26	65	71	40	40	82	24	
		Student 27	40	62	71	67	36	43	
		Student 28	92	61	17	11	65	43	
		Student 29	18	52	57	39	92	71	
		Student 30	56	91	42	14	20	14	
		Student 31	15	59	17	31	67	13	
		Student 32	87	27	27	65	66	19	
		Student 33	61	37	35	58	41	41	
		Student 34	22	78	59	63	87	95	
		Student 35	20	54	33	60	79	35	
		Student 36	54	60	70	96	35	41	
		Student 37	31	42	90	18	58	50	
		Student 38	86	79	55	62	25	90	
		Student 39	21	99	82	14	98	25	
		Student 40	70	11	71	60	59	95	
		Student 41	17	85	84	38	73	35	
		Student 42	54	40	95	72	77	90	
		Student 43	66	55	32	89	73	87	
		Student 44	61	14	72	88	85	44	
		Student 45	72	80	44	38	12	86	
		Student 46	17	39	94	41	20	52	
		Student 47	47	45	66	24	51	65	
		Student 48	50	11	55	10	44	66	
		Student 49	21	99	54	55	30	76	
	Semester 5
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	68	66	39	19	66	65	
		Student 1	74	77	24	50	41	60	
		Student 2	16	13	69	39	67	69	
		Student 3	77	49	95	75	58	44	
		Student 4	83	84	14	67	50	20	
		Student 5	81	37	42	83	80	90	
		Student 6	36	93	21	37	41	52	
		Student 7	28	42	32	93	23	73	
		Student 8	12	43	69	58	60	64	
		Student 9	78	59	34	13	82	14	
		Student 10	98	92	86	16	87	72	
		Student 11	19	48	70	87	26	93	
		Student 12	52	37	47	97	75	83	
		Student 13	12	76	79	47	41	58	
		Student 14	16	63	81	22	17	43	
		Student 15	64	39	65	62	53	57	
		Student 16	97	99	12	28	88	10	
		Student 17	35	36	18	40	69	63	
		Student 18	90	52	97	14	72	68	
		Student 19	55	54	15	94	96	70	
		Student 20	99	55	87	43	96	46	
		Student 21	62	64	16	70	67	49	
		Student 22	26	86	63	19	60	23	
		Student 23	53	75	99	78	82	66	
		Student 24	95	48	30	34	91	33	
		Student 25	48	86	97	93	69	61	
		Student 26	69	62	13	15	73	61	
		Student 27	10	29	88	82	30	18	
		Student 28	40	15	99	28	59	11	
		Student 29	57	94	22	33	98	35	
		Student 30	46	92	58	24	61	21	
		Student 31	16	82	95	63	78	43	
		Student 32	20	68	58	70	16	74	
		Student 33	98	68	95	44	62	47	
		Student 34	96	42	66	52	64	13	
		Student 35	10	85	51	35	16	73	
		Student 36	13	88	11	16	53	73	
		Student 37	46	53	30	12	85	36	
		Student 38	14	31	77	45	96	33	
		Student 39	42	27	45	71	12	46	
		Student 40	95	84	72	98	40	56	
		Student 41	29	10	68	29	32	43	
		Student 42	36	53	61	76	67	58	
		Student 43	16	43	24	93	98	38	
		Student 44	87	86	59	92	32	96	
		Student 45	65	49	86	72	55	61	
		Student 46	73	51	30	58	70	74	
		Student 47	29	50	11	57	88	65	
		Student 48	29	32	42	59	12	75	
		Student 49	76	32	54	27	43	14	
	Semester 6
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	53	10	31	59	32	78	
		Student 1	27	20	18	39	57	64	
		Student 2	96	79	57	10	96	85	
		Student 3	61	29	19	90	26	23	
		Student 4	86	73	17	98	75	19	
		Student 5	85	89	16	45	32	79	
		Student 6	94	85	87	79	69	13	
		Student 7	23	27	39	59	87	98	
		Student 8	13	18	12	49	23	94	
		Student 9	74	50	13	62	80	43	
		Student 10	32	92	58	48	36	32	
		Student 11	58	83	91	97	81	37	
		Student 12	40	68	38	58	72	34	
		Student 13	98	94	77	54	15	82	
		Student 14	81	97	28	33	17	85	
		Student 15	20	22	35	49	29	93	
		Student 16	87	21	58	80	15	19	
		Student 17	58	70	32	20	71	96	
		Student 18	76	58	69	34	61	16	
		Student 19	37	57	89	62	66	76	
		Student 20	91	20	94	55	79	14	
		Student 21	97	73	31	51	50	84	
		Student 22	10	72	76	46	34	51	
		Student 23	76	17	94	52	37	53	
		Student 24	73	36	66	45	37	20	
		Student 25	78	63	45	12	37	57	
		Student 26	61	93	61	93	70	90	
		Student 27	52	93	11	44	65	65	
		Student 28	51	14	66	32	56	17	
		Student 29	57	76	57	11	88	99	
		Student 30	47	96	88	67	16	22	
		Student 31	58	93	93	73	31	78	
		Student 32	50	15	71	47	80	86	
		Student 33	74	12	79	35	51	49	
		Student 34	96	33	80	21	52	32	
		Student 35	35	38	85	21	76	36	
		Student 36	61	77	35	57	94	97	
		Student 37	31	40	37	91	39	44	
		Student 38	14	85	99	23	82	59	
		Student 39	76	30	43	58	57	48	
		Student 40	35	77	73	37	30	89	
		Student 41	69	55	85	62	82	59	
		Student 42	84	14	10	30	26	21	
		Student 43	54	32	89	76	61	25	
		Student 44	33	91	87	61	66	85	
		Student 45	42	51	51	64	98	91	
		Student 46	43	34	84	83	82	38	
		Student 47	77	35	87	17	23	46	
		Student 48	25	82	33	29	33	65	
		Student 49	28	39	69	17	66	91	
	Semester 7
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	58	45	81	80	54	97	
		Student 1	96	67	40	82	58	89	
		Student 2	67	89	32	20	15	41	
		Student 3	76	66	29	55	44	48	
		Student 4	71	17	11	51	73	74	
		Student 5	58	72	94	59	26	30	
		Student 6	74	31	82	42	51	44	
		Student 7	44	69	64	31	46	49	
		Student 8	39	90	63	94	14	79	
		Student 9	69	65	87	99	19	93	
		Student 10	25	20	92	95	94	43	
		Student 11	28	65	42	76	58	24	
		Student 12	63	75	45	41	77	27	
		Student 13	81	81	86	52	82	97	
		Student 14	86	31	19	86	30	86	
		Student 15	79	45	98	65	93	72	
		Student 16	79	76	35	22	84	58	
		Student 17	25	88	85	24	33	95	
		Student 18	98	91	97	40	56	93	
		Student 19	50	65	74	82	41	52	
		Student 20	94	51	84	69	14	17	
		Student 21	94	40	75	11	19	11	
		Student 22	68	41	67	64	44	58	
		Student 23	10	76	20	25	46	26	
		Student 24	29	82	64	19	64	75	
		Student 25	33	79	37	36	31	87	
		Student 26	88	32	26	36	33	69	
		Student 27	62	78	27	85	62	87	
		Student 28	15	74	71	78	36	48	
		Student 29	92	18	36	33	44	22	
		Student 30	34	91	56	81	38	55	
		Student 31	16	55	84	86	75	82	
		Student 32	40	70	13	29	74	13	
		Student 33	76	64	58	62	69	35	
		Student 34	52	27	69	74	39	51	
		Student 35	16	72	86	62	17	86	
		Student 36	46	70	20	50	19	31	
		Student 37	65	27	58	82	82	92	
		Student 38	49	29	27	77	23	96	
		Student 39	46	95	10	73	88	26	
		Student 40	14	35	83	95	38	36	
		Student 41	83	30	81	90	38	43	
		Student 42	29	35	20	30	66	32	
		Student 43	92	41	48	92	73	93	
		Student 44	13	89	60	20	73	26	
		Student 45	63	39	77	68	52	84	
		Student 46	83	22	39	94	52	33	
		Student 47	91	14	95	30	54	68	
		Student 48	89	42	31	57	73	91	
		Student 49	64	64	84	42	96	58	
Program 1
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	43	72	13	81	88	13	
		Student 1	10	13	71	39	24	96	
		Student 2	35	33	14	60	67	24	
		Student 3	62	47	85	15	94	50	
		Student 4	61	49	19	18	81	96	
		Student 5	61	64	87	37	63	96	
		Student 6	21	73	39	96	79	31	
		Student 7	58	81	65	16	73	44	
		Student 8	37	59	77	41	83	55	
		Student 9	19	69	81	43	44	77	
		Student 10	70	35	91	65	81	20	
		Student 11	47	53	37	19	41	37	
		Student 12	85	26	89	48	83	79	
		Student 13	72	93	42	78	94	80	
		Student 14	21	59	57	65	13	89	
		Student 15	61	51	97	91	54	46	
		Student 16	21	63	30	79	89	17	
		Student 17	68	43	76	27	60	38	
		Student 18	73	81	69	63	94	62	
		Student 19	20	45	35	35	15	80	
		Student 20	88	79	31	67	28	62	
		Student 21	82	88	32	85	73	61	
		Student 22	20	65	23	21	20	90	
		Student 23	90	59	15	94	78	21	
		Student 24	95	57	28	29	25	35	
		Student 25	33	71	56	13	98	54	
		Student 26	59	89	45	86	89	67	
		Student 27	25	82	77	83	90	31	
		Student 28	23	70	26	52	34	88	
		Student 29	57	95	95	77	51	20	
		Student 30	68	79	36	67	20	22	
		Student 31	13	80	93	21	41	29	
		Student 32	69	21	39	68	67	12	
		Student 33	13	76	42	37	82	93	
		Student 34	63	36	36	88	48	85	
		Student 35	44	83	35	86	59	10	
		Student 36	72	82	84	86	46	86	
		Student 37	63	18	66	59	46	67	
		Student 38	95	31	52	14	27	24	
		Student 39	81	83	26	48	31	39	
		Student 40	31	50	44	65	80	17	
		Student 41	47	37	32	96	53	77	
		Student 42	47	82	32	49	61	44	
		Student 43	39	39	25	93	43	53	
		Student 44	31	41	71	42	72	14	
		Student 45	18	30	87	59	89	31	
		Student 46	80	92	83	46	37	96	
		Student 47	79	67	17	32	98	31	
		Student 48	28	80	73	69	78	42	
		Student 49	90	46	71	98	58	40	
	Semester 1
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	98	86	36	40	28	57	
		Student 1	73	32	47	68	50	97	
		Student 2	90	77	65	10	24	22	
		Student 3	23	86	32	90	71	57	
		Student 4	57	93	93	85	85	41	
		Student 5	56	66	93	17	97	21	
		Student 6	57	61	35	80	95	49	
		Student 7	27	27	40	16	77	42	
		Student 8	92	65	46	54	45	46	
		Student 9	82	20	76	46	18	79	
		Student 10	52	34	53	17	58	24	
		Student 11	59	19	47	34	23	91	
		Student 12	15	75	22	38	82	37	
		Student 13	20	26	54	86	86	77	
		Student 14	62	49	12	55	76	98	
		Student 15	83	82	34	13	32	71	
		Student 16	15	39	33	43	33	47	
		Student 17	19	74	77	11	33	90	
		Student 18	64	88	74	68	94	52	
		Student 19	64	66	66	49	91	44	
		Student 20	15	24	36	37	97	52	
		Student 21	33	14	78	23	69	59	
		Student 22	68	94	64	21	16	93	
		Student 23	55	84	76	49	62	97	
		Student 24	83	68	85	90	97	14	
		Student 25	66	20	59	73	66	15	
		Student 26	24	28	17	22	20	69	
		Student 27	70	57	38	39	75	98	
		Student 28	74	80	16	18	70	10	
		Student 29	60	16	28	35	69	14	
		Student 30	27	53	72	75	36	42	
		Student 31	80	46	59	65	68	19	
		Student 32	48	85	54	60	98	43	
		Student 33	12	60	95	47	67	56	
		Student 34	16	16	50	10	54	43	
		Student 35	76	11	18	69	40	62	
		Student 36	84	91	42	24	52	21	
		Student 37	30	69	22	81	86	83	
		Student 38	83	49	70	60	39	17	
		Student 39	84	28	91	60	15	11	
		Student 40	65	90	31	83	19	29	
		Student 41	32	36	68	10	62	73	
		Student 42	56	79	98	36	98	10	
		Student 43	90	81	10	30	56	78	
		Student 44	93	29	45	30	11	43	
		Student 45	71	52	80	37	89	18	
		Student 46	31	15	11	81	46	29	
		Student 47	66	47	58	81	30	65	
		Student 48	45	69	64	32	91	50	
		Student 49	11	43	59	49	37	36	
	Semester 2
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	19	63	88	32	49	17	
		Student 1	49	92	18	47	75	70	
		Student 2	84	57	64	33	64	24	
		Student 3	95	53	17	16	24	28	
		Student 4	83	22	36	54	47	87	
		Student 5	75	40	42	67	79	78	
		Student 6	61	74	83	92	22	79	
		Student 7	22	52	82	83	66	42	
		Student 8	75	34	77	32	30	27	
		Student 9	71	20	26	74	38	34	
		Student 10	24	24	82	68	77	89	
		Student 11	36	65	18	67	37	99	
		Student 12	85	84	98	48	86	85	
		Student 13	66	71	15	79	21	83	
		Student 14	71	81	10	87	27	40	
		Student 15	32	78	21	79	96	16	
		Student 16	37	45	69	35	87	86	
		Student 17	16	85	93	45	31	87	
		Student 18	74	71	78	71	72	43	
		Student 19	29	49	72	66	18	75	
		Student 20	48	55	37	18	28	19	
		Student 21	92	91	69	85	45	76	
		Student 22	31	41	54	10	74	18	
		Student 23	22	24	22	31	48	45	
		Student 24	63	59	16	82	28	70	
		Student 25	41	42	71	41	87	61	
		Student 26	59	26	97	89	77	13	
		Student 27	53	67	86	14	37	88	
		Student 28	34	25	99	12	35	20	
		Student 29	21	33	97	23	47	12	
		Student 30	37	13	25	51	91	62	
		Student 31	31	85	76	72	66	80	
		Student 32	42	84	40	85	19	22	
		Student 33	36	31	94	37	29	74	
		Student 34	50	23	66	34	44	26	
		Student 35	20	34	26	96	36	50	
		Student 36	39	13	47	82	61	93	
		Student 37	31	83	41	38	66	87	
		Student 38	76	79	26	30	80	14	
		Student 39	70	91	91	51	58	14	
		Student 40	26	25	10	39	29	48	
		Student 41	73	67	66	20	84	91	
		Student 42	49	76	44	17	53	68	
		Student 43	28	34	59	76	27	94	
		Student 44	98	54	44	49	61	17	
		Student 45	16	54	48	69	47	66	
		Student 46	26	63	42	51	40	27	
		Student 47	53	32	39	65	50	42	
		Student 48	87	95	14	17	62	30	
		Student 49	44	54	10	40	89	71	
	Semester 3
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	79	89	93	41	65	98	
		Student 1	85	97	98	33	12	48	
		Student 2	56	90	21	83	77	73	
		Student 3	63	17	68	65	73	85	
		Student 4	49	41	19	94	83	92	
		Student 5	98	24	73	38	28	53	
		Student 6	24	24	76	58	96	58	
		Student 7	28	71	87	51	96	25	
		Student 8	52	70	40	42	26	59	
		Student 9	56	93	46	72	45	47	
		Student 10	54	15	53	32	25	15	
		Student 11	53	59	20	65	62	54	
		Student 12	53	38	11	94	35	84	
		Student 13	98	69	16	29	32	36	
		Student 14	39	21	13	47	45	94	
		Student 15	57	32	18	56	41	35	
		Student 16	59	91	56	41	43	78	
		Student 17	77	72	85	38	87	99	
		Student 18	58	29	18	12	41	42	
		Student 19	77	99	41	60	63	14	
		Student 20	57	99	69	57	93	89	
		Student 21	88	70	13	22	64	26	
		Student 22	18	80	49	19	23	34	
		Student 23	59	21	54	11	89	84	
		Student 24	53	25	83	82	97	45	
		Student 25	17	22	22	14	15	57	
		Student 26	67	56	36	59	49	11	
		Student 27	76	33	38	98	27	58	
		Student 28	78	86	79	76	63	77	
		Student 29	63	50	65	44	22	40	
		Student 30	10	80	95	96	99	92	
		Student 31	80	53	67	70	16	56	
		Student 32	20	75	71	79	43	93	
		Student 33	42	23	26	66	74	41	
		Student 34	50	28	15	20	93	15	
		Student 35	44	75	30	53	40	18	
		Student 36	26	24	82	71	23	83	
		Student 37	19	91	90	58	33	60	
		Student 38	89	29	30	70	69	90	
		Student 39	68	91	38	77	80	67	
		Student 40	86	40	66	74	62	71	
		Student 41	60	20	37	92	42	40	
		Student 42	60	82	92	37	64	18	
		Student 43	32	60	86	72	36	42	
		Student 44	26	40	24	71	51	39	
		Student 45	67	85	64	30	26	24	
		Student 46	73	99	30	60	21	47	
		Student 47	74	60	66	38	16	87	
		Student 48	81	86	42	89	95	93	
		Student 49	15	99	77	39	67	21	
	Semester 4
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	29	96	85	18	23	43	
		Student 1	38	89	23	38	65	92	
		Student 2	22	91	56	97	85	29	
		Student 3	82	94	70	94	67	20	
		Student 4	45	42	99	17	58	37	
		Student 5	59	91	81	29	73	31	
		Student 6	65	87	47	70	64	79	
		Student 7	39	10	84	24	13	83	
		Student 8	51	93	73	23	82	30	
		Student 9	53	66	71	37	92	21	
		Student 10	20	64	90	66	62	66	
		Student 11	39	12	16	66	40	63	
		Student 12	53	36	11	46	20	37	
		Student 13	36	60	57	52	14	54	
		Student 14	71	16	67	34	35	89	
		Student 15	97	76	81	36	50	71	
		Student 16	52	36	95	44	61	78	
		Student 17	17	17	72	68	98	97	
		Student 18	99	22	29	22	66	23	
		Student 19	93	70	10	14	12	47	
		Student 20	35	49	43	14	22	73	
		Student 21	64	43	80	30	76	82	
		Student 22	72	19	52	60	58	63	
		Student 23	68	77	58	52	52	63	
		Student 24	99	76	52	24	35	55	
		Student 25	94	53	26	42	79	51	
		Student 26	46	21	60	49	45	48	
		Student 27	99	16	38	44	57	72	
		Student 28	13	14	98	29	15	53	
		Student 29	42	41	65	11	26	53	
		Student 30	26	95	38	68	82	46	
		Student 31	86	74	11	37	24	17	
		Student 32	94	68	45	96	60	65	
		Student 33	18	32	57	70	70	76	
		Student 34	22	84	19	83	96	93	
		Student 35	78	87	42	92	42	40	
		Student 36	40	55	21	83	34	45	
		Student 37	46	49	89	70	64	20	
		Student 38	20	55	56	45	26	93	
		Student 39	66	35	76	59	54	53	
		Student 40	11	24	17	15	48	63	
		Student 41	70	85	60	25	57	38	
		Student 42	36	59	99	86	20	45	
		Student 43	68	24	39	92	64	17	
		Student 44	56	66	11	27	55	48	
		Student 45	22	41	62	87	50	38	
		Student 46	72	15	55	29	78	25	
		Student 47	25	30	44	13	89	46	
		Student 48	67	32	18	78	46	60	
		Student 49	15	65	15	46	48	83	
	Semester 5
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	60	93	70	11	54	53	
		Student 1	94	12	80	53	26	47	
		Student 2	69	30	46	54	78	14	
		Student 3	48	71	17	75	86	46	
		Student 4	20	50	62	60	76	92	
		Student 5	98	90	75	88	22	63	
		Student 6	94	52	24	75	13	39	
		Student 7	91	36	51	15	46	87	
		Student 8	99	45	71	63	35	34	
		Student 9	34	39	51	67	37	85	
		Student 10	59	30	56	99	40	96	
		Student 11	50	52	78	74	65	92	
		Student 12	40	54	82	54	89	91	
		Student 13	74	27	55	32	87	23	
		Student 14	47	88	14	34	28	26	
		Student 15	81	70	77	16	58	72	
		Student 16	36	59	19	83	76	79	
		Student 17	68	59	73	87	85	38	
		Student 18	36	91	57	82	73	39	
		Student 19	98	12	31	12	15	83	
		Student 20	93	48	86	63	61	96	
		Student 21	10	48	37	35	70	97	
		Student 22	46	59	62	38	18	62	
		Student 23	36	57	27	47	73	77	
		Student 24	94	21	22	37	27	20	
		Student 25	15	62	60	88	12	60	
		Student 26	34	31	95	41	26	61	
		Student 27	17	75	52	25	35	46	
		Student 28	32	55	96	15	52	58	
		Student 29	17	61	54	48	79	11	
		Student 30	37	27	39	44	34	87	
		Student 31	43	55	27	82	14	46	
		Student 32	95	77	17	87	80	39	
		Student 33	31	12	71	16	18	85	
		Student 34	36	78	25	14	31	10	
		Student 35	61	81	90	14	28	94	
		Student 36	91	73	83	56	23	56	
		Student 37	85	38	26	32	27	59	
		Student 38	18	54	93	31	63	36	
		Student 39	76	70	97	11	69	54	
		Student 40	54	99	31	94	90	47	
		Student 41	53	87	94	41	45	72	
		Student 42	97	54	35	32	67	56	
		Student 43	48	59	38	38	99	49	
		Student 44	21	91	23	46	53	96	
		Student 45	83	70	11	98	95	19	
		Student 46	69	13	30	81	99	50	
		Student 47	73	34	88	85	50	87	
		Student 48	61	35	34	61	48	53	
		Student 49	52	85	30	88	62	58	
	Semester 6
